created_at,user.location,user.followers_count,user.friends_count,text
2019-02-28 06:59:16,United States,504,204,"@krassenstein And even Kim Jung Un, after listening to the #Cohen testimony,  realized tRUmp can’t be trusted and a… https://t.co/px4kMUa8dW"
2019-02-28 06:59:16,Northwest FL,151,46,"@realDonaldTrump So refreshing.
The White House said Thursday that the nuclear  summit between U.S. President Donal… https://t.co/Zf162VIpM9"
2019-02-28 06:59:17,,30,91,@JacksonLeeTX18 @MichaelCohen212 @realDonaldTrump There wasn’t when President Trump won. Dems lost their minds!
2019-02-28 06:59:17,"Texas, USA",70,617,@GOP Donald Trump is an unconvicted felon who has consistently engaged in deceptive and misleading criminal behavior. What's your point?
2019-02-28 06:59:17,"`Los Angeles, CA",6686,6971,@sunvalleyid @june_heinz @DamnitSands @pam_brundige @fragmansixty9 @FreshPhunky @kingfish7418 @HollieWolfen… https://t.co/2xbsziXPUa
2019-02-28 06:59:17,New Mexico,561,462,@PhilipRucker @Delavegalaw The meeting was nothing more than a photo op and Trump getting his latest orders from Pu… https://t.co/3Jgd4ze7Mv
2019-02-28 06:59:17,"Rural N Ga Mts, US",25557,27962,"@realDonaldTrump Uh Oh! Summit ended abruptly!😳
https://t.co/l3X5uvKoF1"
2019-02-28 06:59:17,France,852,2606,Possibly my favorite moment
2019-02-28 06:59:18,,1197,4999,@CNN Trump / GOP ORGANIZED CRIME of destruction of US systems is heavily influenced by foreign entities. The ‘norma… https://t.co/1rHhHYRRZa
2019-02-28 06:59:18,,114,152,No agreement: Trump-Kim summit cut short in Hanoi https://t.co/dknNRwX6h0
2019-02-28 06:59:18,,0,4,"Hey Rep, do you realize how silly you looked today?  You should look!  You are the most unprofessional group of goo… https://t.co/5GDyoBuQFQ"
2019-02-28 06:59:18,,14,62,@TheLastRefuge2 Only problem for Trump is any move he makes will tank markets. Is he willing to make that sacrifice?
2019-02-28 06:59:19,"Santa Clara, CA",47,124,We should have an Olympic sport called mental gymnastics. The American team will consist of Trump supporters trying… https://t.co/4X9kop4MRR
2019-02-28 06:59:19,Parent's Basement,523,907,I wonder who dragged out a screaming 45 before he gave the west coast to Kim.
2019-02-28 06:59:19,United States,3783,4950,Pres.Trump will not let the Chairman push the US around. These so called journalist need to learn other countries c… https://t.co/Y341rA2pc1
2019-02-28 06:59:19,,5881,5869,We wouldn't give a rip!
2019-02-28 06:59:19,"New Haven, CT",545,544,That's white America black and brown people. Think about it.
2019-02-28 06:59:19,"California, USA",1061,1614,"@Lrihendry @muskeeta As an atheist for Trump

That's a very nice prayer"
2019-02-28 06:59:19,"Macomb, MI",667,933,"Huh, didn't even manage a meaningless PR stunt this time.

So, pivot to completely ignoring NK, or are we back to ""… https://t.co/CuNvoNJegv"
2019-02-28 06:59:19,"19.053737,72.826761",3752,500,#Trump and #KimJongUn met. Nothing came from it. Which was obvious. Lets move on.
2019-02-28 06:59:19,California ,269,361,"@JohnOSullivan36 @jackieaz0306 @tribelaw Yes. I go back &amp; forth on this as to what is worse. Any way you slice it,… https://t.co/BnS5xxVswK"
2019-02-28 06:59:19,"Honolulu, Hawaii",1236,2247,@realDonaldTrump #tRump can visit 4 burial places and the #HanoiHilton to pay tribute to those who ACTUALLY served… https://t.co/M2Vk86cDgI
2019-02-28 06:59:19,between the Moon and NYC,4158,3863,"Well, this makes me feel so safe &amp; secure."
2019-02-28 06:59:19,WORLD,9333,10267,"@Independent Your opinion section was terribly, terribly wrong to praise frump's nondeal in Hanoi,"
2019-02-28 06:59:20,CT,71,492,Will Kielbasa
2019-02-28 06:59:20,LA,749,985,"North Korea             Trump admin
                           
                           🤝
                     Great PR"
2019-02-28 06:59:20,"North Mankato, MN",35,180,@PhilipRucker Feels like this whole thing was a charade to create another shiny object to draw attention away from… https://t.co/vVtuoUzqjy
2019-02-28 06:59:20,"Wellington, New Zealand",33409,302,The White House has announced no deal has been reached with North Korea after leaders Donald Trump and Kim Jong-un… https://t.co/9KCZq3GgCA
2019-02-28 06:59:20,United States,984,1969,Be glad not to go.
2019-02-28 06:59:20,"Los Angeles, CA",19,72,@ScottBaio @MrsScottBaio @paulatrickey What about Comey memos? They say that Trump was paranoid of Melania finding… https://t.co/N4jPX3jBtz
2019-02-28 06:59:20,,78,318,"@DemWrite So basically today in a nut shell: 
Trump failed a second time with NK, but was implicated in 5 federal crimes. MAGA! 🤪"
2019-02-28 06:59:20,"Redmond, WA",626,910,Figures
2019-02-28 06:59:20,Australia ,273,753,Suprise. It's all gone tits up for Trump. Here's hoping he hasn't started a war.
2019-02-28 06:59:21,,30,131,"Oh, them's fightin' words. 🎵Seein' Trump and Michael down by the schoolyard🎵 - the remake of Paul Simon's song.… https://t.co/l1Udf7XzW6"
2019-02-28 06:59:21,United States,23,1631,@TwitWhatter No agreement: Trump-Kim summit cut short in Hanoi
2019-02-28 06:59:21,,291,71,"Donald Trump is going to be like ""see, I always knew going to Vietnam was a bad idea!"" because this is a disaster f… https://t.co/3UIielqLKS"
2019-02-28 06:59:21,,45,519,@HighersideChats But aren't you the same? I thought everyone alt thinking was pro Trump?????
2019-02-28 06:59:21,"Seoul, Republic of Korea",33087,1882,"No deal. No scheduled signing. No declaration. White House have called the talks constructive, but critics will cry… https://t.co/wTVABmWGGa"
2019-02-28 06:59:22,"43.798138,-79.379158",104,610,@mikepillsbury Now that Trump-Kim summit ends up in mess. We can smell another disaster brewing.
2019-02-28 06:59:22,,1240,838,@realDerekHardy @HoarseWisperer @__RedLily__ I agree he’s a fraud. Did you know Cnn told it too late. They tried to… https://t.co/MV9yJk8LlR
2019-02-28 06:59:22,,217,358,Unusual to say the least. Is tRUmp doing this to distract from Cohen and to begin prepping something larger as he f… https://t.co/p1gYKwQ2Od
2019-02-28 06:59:22,North Texas,1569,1846,"Hmmm, seems the orange ape didn’t make a deal towards world peace like he promised earlier. Seems like he’s distrac… https://t.co/9lzto5rPFc"
