created_at,user.location,user.followers_count,user.friends_count,text
2019-02-19 11:13:43,United Kingdom,8229,7509,"🙏You’re special and unique🙏You’re ‼️ “If you’re lucky enough to be different, don’t ever change.” —Taylor Swift… https://t.co/jpkvSRhoVV"
2019-02-19 11:13:46,Nairobi,1741,4980,"#RadioActiveMixx
#TerrificTuesday 
#TuesdayThoughts 
#TuesdayMotivation 
#FinePeopleFromKenya 
@Andreflavour 
ROCK… https://t.co/CYkPKNyqzZ"
2019-02-19 11:13:48,Faraway ,2990,3986,"""A good heart these days is hard to find A good heart the loving kind...."""
2019-02-19 11:13:57,"North Carolina, USA",513,438,"Waking up this morning was really difficult. I just wanted to stay snuggled in my bed! Anyway, all hopes for a good… https://t.co/rQXN6WlunX"
2019-02-19 11:14:01,"Whitworth, Lancashire",758,612,Think Vegan..... #vegan #veganfriendly #veganfood #nougat #confectionery #TuesdayThoughts #caramel #saltedcaramel… https://t.co/axUh8qaR27
2019-02-19 11:14:02,,70,168,"When in reality they are just wasting time.

Read daily and you'll be an edge against most of the competition!

RT… https://t.co/FNf8QMLjuU"
2019-02-19 11:14:04,Milton Keynes Uk,3880,2957,https://t.co/TuX2kA25Co #Holiday #Flights #Uk #Travel #vacation #London #Paradise #miltonkeynes #Airport… https://t.co/gu8TsfHZZf
2019-02-19 11:14:04,,359,178,"#TuesdayThoughts of the most beautiful, genuine, classy #AshleyJones a modern day  l#AudreyHepburn https://t.co/MyTrqOQADx"
2019-02-19 11:14:03,Nairobi,1741,4980,"#RadioActiveMixx
#TerrificTuesday 
#TuesdayThoughts 
#TuesdayMotivation 
#FinePeopleFromKenya 
@Andreflavour 
ALL I… https://t.co/ETqnTDp5K3"
2019-02-19 11:14:09,Arua - Uganda,292,235,"#Proverb Girls are like mangos, you keep on waiting while others are eating with salt. #somalia #TuesdayThoughts RT… https://t.co/DkyzB2cXn8"
2019-02-19 11:14:12,North West England,1843,2793,"I don't honestly know which is the best way forward, #revokeA50 or #PeoplesVote  but at this stage I will climb abo… https://t.co/61qvoef7JJ"
2019-02-19 11:14:14,"South West, England",6082,5513,"[AD- Book Review]
5*#Review  #DearRosieHughes @Melanie_Hudson_ @HarperImpulse https://t.co/9s8dVldPH8 'The ending i… https://t.co/g6VotJDRJB"
2019-02-19 11:14:14,"New Jersey, USA",9200,6165,"(NEW) Two Minute Timeout for Teachers: ""YOU Were Built to Sail!"" Check it out and be encouraged today.… https://t.co/IGCSYmXVEq"
2019-02-19 11:14:14,"Paisley, UK",44,25,Every single day is a new chance to try again. Join us @FULLARTONCHIRO for your next treatment. #TuesdayThoughts
2019-02-19 11:14:15,USA,3136,2280,"Tuesday
Pray the Sorrowful Mysteries
of the Holy Rosary
✨
1️⃣ Agony in the Garden
2️⃣ Scourging at the Pillar
3️⃣ C… https://t.co/dJcf4xy7ON"
2019-02-19 11:14:16,United States,1868,2082,They are great and will make it!!! Love their voices. Thank you for always making my morning coffee so much fun and… https://t.co/TDVdc5zgC0
2019-02-19 11:14:18,"Bristol, England",80,4,RT https://t.co/XmWWIXBeYI Time for a #springclean get in touch today! 0208 367 8444 or email info@cleanedbyashley.… https://t.co/HSxN7FzHXw
2019-02-19 11:14:27,,5810,5041,🙏🏼🕊🌼🙏🏼🕊🌼🙏🏼🕊🌼🙏🏼. One small positive thought in the morning can change the entire outcome of your day!… https://t.co/JAJUPjExJD
2019-02-19 11:14:36,"Scotland, UK",1109,989,What the world needs now is love sweet love... cue for a song and showing my age 😊… https://t.co/1xQ6cDG3lV
2019-02-19 11:14:37,,0,1,Pls RT #Amazon India Coupon Code https://t.co/6ftfNf2oQ5 #taheemrajat Web: https://t.co/3ut3zxH3xB FB:… https://t.co/5rlZW1Iuke
2019-02-19 11:14:44,Puerto Rico,1639,1340,Get these 5 bible studies that will change your life! #free #TuesdayThoughts https://t.co/wTj0nSCkwO
